date,spread_d10_d1,n_assets,deciles_present
2009-04-01,0.05675016745340347,1461,10
2009-05-01,-0.028460394256319646,1461,10
2009-06-01,0.09118410461106832,1462,10
2009-07-01,0.09416123298028564,1464,10
2009-08-01,0.058757537711423266,1466,10
2009-09-01,-0.05185610317964031,1468,10
2009-10-01,0.027380104054199057,1472,10
2009-11-01,0.05816089303390955,1477,10
2009-12-01,-0.04243694828004688,1481,10
2010-01-01,0.025347311238754208,1487,10
2010-02-01,0.06431683935231339,1491,10
2010-03-01,0.062764372210242,1498,10
2010-04-01,-0.05012014341492296,1503,10
2010-05-01,-0.04762531359642119,1506,10
2010-06-01,0.05987724561435134,1510,10
2010-07-01,-0.03399098105256296,1512,10
2010-08-01,0.07049209704109619,1515,10
2010-09-01,0.028420479831427002,1516,10
2010-10-01,0.04945925460731317,1521,10
2010-11-01,0.01860037253731918,1526,10
2010-12-01,-0.0005205365914243924,1529,10
2011-01-01,0.01853811571330901,1532,10
2011-02-01,0.021838325073820324,1534,10
2011-03-01,0.02361560807576432,1537,10
2011-04-01,-0.010874230238078892,1542,10
2011-05-01,0.008878926544425054,1546,10
2011-06-01,0.009200601910723643,1549,10
2011-07-01,-0.045984906600555694,1551,10
2011-08-01,-0.09162738544952928,1551,10
2011-09-01,0.16705851749693557,1552,10
2011-10-01,0.005969336972677661,1554,10
2011-11-01,-0.0026380311957778513,1556,10
2011-12-01,0.06146634198530621,1559,10
2012-01-01,-0.008446208023704261,1561,10
2012-02-01,0.03274283657859086,1565,10
2012-03-01,-0.02192662339921991,1573,10
2012-04-01,-0.003914399919253876,1576,10
2012-05-01,0.014481864959985657,1582,10
2012-06-01,0.029428296218342795,1584,10
2012-07-01,0.03569035687740846,1586,10
2012-08-01,0.015795792938440707,1589,10
2012-09-01,0.008883538412180748,1593,10
2012-10-01,0.010374457071142585,1598,10
2012-11-01,0.0045491630982123915,1602,10
2012-12-01,0.039872195027644136,1604,10
2013-01-01,0.04357525846941536,1611,10
2013-02-01,0.02532152566223681,1614,10
2013-03-01,0.04288013896008371,1615,10
2013-04-01,0.09250011031426669,1618,10
2013-05-01,0.02601837573730583,1624,10
2013-06-01,0.03537083385603784,1630,10
2013-07-01,0.014086271410449417,1632,10
2013-08-01,0.07262282562502162,1641,10
2013-09-01,-0.03232410548400988,1645,10
2013-10-01,0.057218909068814855,1660,10
2013-11-01,0.013170585122869238,1665,10
2013-12-01,0.041467385103112625,1670,10
2014-01-01,0.05986259475794557,1674,10
2014-02-01,-0.040131444222649304,1680,10
2014-03-01,-0.11012817895700933,1687,10
2014-04-01,0.009072833877111448,1694,10
2014-05-01,0.0804899118228579,1700,10
2014-06-01,-0.0373125658971227,1707,10
2014-07-01,0.04472410987561344,1715,10
2014-08-01,-0.017742922119797062,1715,10
2014-09-01,-0.02261174804689369,1722,10
2014-10-01,-0.012594178426141713,1727,10
2014-11-01,-0.0018081193523660135,1736,10
2014-12-01,0.008080001618473182,1739,10
2015-01-01,0.03796043581507218,1748,10
2015-02-01,0.01731215978076946,1749,10
2015-03-01,-0.042148407070094145,1753,10
2015-04-01,0.04631418630181857,1759,10
