decile,target_value_spread_fwd_1m,date
5,0.0037105216372326495,2011-11-01
6,-0.013709916452341955,2011-11-01
7,-0.002806506132741792,2011-11-01
8,-0.006176103032285792,2011-11-01
9,-0.002865597555835858,2011-11-01
10,-0.013498731567572878,2011-11-01
1,0.0017726140822322352,2011-12-01
2,-0.00272977381641133,2011-12-01
3,-0.00605375590136358,2011-12-01
4,-0.005645631756549825,2011-12-01
5,0.010991992021250445,2011-12-01
6,0.022588133661854373,2011-12-01
7,0.02170490201042601,2011-12-01
8,0.016670113340777244,2011-12-01
9,0.029674823213989423,2011-12-01
10,0.06323895606753845,2011-12-01
1,0.018332343007505563,2012-01-01
2,0.008274121178354849,2012-01-01
3,0.007978817897106713,2012-01-01
4,-0.003432100515123157,2012-01-01
5,0.0019021377435862004,2012-01-01
6,0.0037171184001627824,2012-01-01
7,0.005336011203557393,2012-01-01
8,0.020434429968046047,2012-01-01
9,-0.0020320095950108683,2012-01-01
10,0.009886134983801302,2012-01-01
1,-0.014905222522508853,2012-02-01
2,-0.01539180466765309,2012-02-01
3,-0.0012713054239031167,2012-02-01
4,0.00544261502042491,2012-02-01
5,-0.009158724245189683,2012-02-01
6,0.006440446677597455,2012-02-01
7,0.0009613951195884313,2012-02-01
8,0.0029882677000232388,2012-02-01
9,0.008408846817328407,2012-02-01
10,0.017837614056082005,2012-02-01
1,-0.00048506062948487313,2012-03-01
2,0.0016763519094262719,2012-03-01
3,-0.0008944888512476181,2012-03-01
4,-0.004455676818010066,2012-03-01
5,-7.40735716490548e-05,2012-03-01
6,-0.01711502320201118,2012-03-01
7,-0.0069517941096595166,2012-03-01
8,-0.008056498281480733,2012-03-01
9,-0.014439003252071182,2012-03-01
10,-0.022411684028704783,2012-03-01
1,0.0024061278072721897,2012-04-01
2,0.001147105669984218,2012-04-01
3,0.0049626036592067034,2012-04-01
4,0.0032450216144653903,2012-04-01
5,-0.009564203978018614,2012-04-01
6,-0.013309217619924535,2012-04-01
7,-0.009435025367517317,2012-04-01
8,-0.0032493880107861816,2012-04-01
9,-0.015163130782645726,2012-04-01
10,-0.001508272111981686,2012-04-01
1,-0.012491265307728849,2012-05-01
2,-0.0004891219204058372,2012-05-01
3,-0.0020580585843360468,2012-05-01
4,0.0002233396274306172,2012-05-01
5,0.001337347039022302,2012-05-01
6,-0.0002638545259781087,2012-05-01
7,-0.009362307185646493,2012-05-01
8,0.010049277535011681,2012-05-01
9,0.011612473670194497,2012-05-01
10,0.001990599652256809,2012-05-01
1,0.011933348399172662,2012-06-01
2,0.00836959907145073,2012-06-01
3,-0.012046363679666794,2012-06-01
4,-0.008549599294210794,2012-06-01
5,-0.013331093937818526,2012-06-01
6,-0.002580452045985172,2012-06-01
7,-0.02659392567160711,2012-06-01
8,-0.010140603735211355,2012-06-01
9,-0.004478644878051909,2012-06-01
10,0.04136164461751546,2012-06-01
1,-0.006428217376303516,2012-07-01
2,-0.0002788101580410834,2012-07-01
3,-0.0002388740056100433,2012-07-01
4,0.003704073927389306,2012-07-01
5,0.0023537979570547166,2012-07-01
6,0.0023328075977104915,2012-07-01
7,0.014063984829883237,2012-07-01
8,0.019427376579310755,2012-07-01
9,0.03694435673238647,2012-07-01
10,0.029262139501104945,2012-07-01
1,0.017411579190493066,2012-08-01
2,0.01114070601464351,2012-08-01
3,-0.004963792195963374,2012-08-01
4,-0.00660927219370248,2012-08-01
5,0.0034151565200392846,2012-08-01
6,0.00667061981257975,2012-08-01
7,0.01664046921777765,2012-08-01
8,0.0004440345250366377,2012-08-01
9,0.01269520238201514,2012-08-01
10,0.03320737212893377,2012-08-01
1,-0.005092956583722768,2012-09-01
2,0.0025399061835953357,2012-09-01
3,0.002720061921787603,2012-09-01
4,-0.01314776321497506,2012-09-01
5,-0.010034083272064991,2012-09-01
6,0.0008139505926352624,2012-09-01
7,-0.0009843586814936914,2012-09-01
8,-0.005849460399165531,2012-09-01
9,-0.004853315664159614,2012-09-01
10,0.003790581828457979,2012-09-01
1,-0.002008318709111186,2012-10-01
2,-0.0009026628735732728,2012-10-01
3,-0.0010610366034056258,2012-10-01
4,0.002554181208215262,2012-10-01
5,0.00765225863056284,2012-10-01
6,0.012660720357826736,2012-10-01
7,0.004797864037296475,2012-10-01
8,0.003912184798775675,2012-10-01
9,0.002549512204208436,2012-10-01
10,0.0083661383620314,2012-10-01
1,-0.007438707810999049,2012-11-01
2,0.005587681633516823,2012-11-01
3,0.004996223255982398,2012-11-01
4,0.004856546206339537,2012-11-01
5,0.008438654449351601,2012-11-01
6,0.01547398184705511,2012-11-01
7,0.044513424895363335,2012-11-01
8,0.006819264563953017,2012-11-01
9,0.025032363073119523,2012-11-01
10,-0.002889544712786658,2012-11-01
1,-0.007181525197317683,2012-12-01
2,-0.005430887137298876,2012-12-01
3,-0.00547093792150881,2012-12-01
4,0.007931089089450291,2012-12-01
5,0.004380647463449806,2012-12-01
6,0.005998723254470842,2012-12-01
7,-0.01317900867393796,2012-12-01
8,0.0012182555588107153,2012-12-01
9,0.025635481680035356,2012-12-01
10,0.03269066983032645,2012-12-01
1,-0.004224130666805218,2013-01-01
2,0.0015851969373734903,2013-01-01
3,0.010503578870234289,2013-01-01
4,-0.004689162083967076,2013-01-01
5,-0.002070549270168103,2013-01-01
6,-0.006747311800837795,2013-01-01
7,-0.002504815231933647,2013-01-01
8,-0.015010758636473599,2013-01-01
9,-0.0039336769587374875,2013-01-01
10,0.03935112780261014,2013-01-01
1,-0.005694462624897678,2013-02-01
2,-0.010212019238624886,2013-02-01
3,-0.0030525969939295744,2013-02-01
4,-0.0044935616887846735,2013-02-01
5,0.002987134863521033,2013-02-01
6,-0.002764226743204772,2013-02-01
7,0.0015517882040295317,2013-02-01
8,0.008907677772894359,2013-02-01
9,0.007727508304003669,2013-02-01
10,0.019627063037339132,2013-02-01
1,-0.0034627222577583616,2013-03-01
2,-0.000524198058500107,2013-03-01
3,0.0022913635807632264,2013-03-01
4,0.005269140721375784,2013-03-01
5,-0.007102790408796035,2013-03-01
6,0.0013192564904700031,2013-03-01
7,-0.0064530430938537645,2013-03-01
8,0.015645191324608072,2013-03-01
9,0.0034154975890956364,2013-03-01
10,0.03941741670232535,2013-03-01
1,-0.050488684949851204,2013-04-01
2,-0.02117900175051645,2013-04-01
3,-0.011523121723072564,2013-04-01
4,0.0032473692101377084,2013-04-01
5,-0.0056531523240090234,2013-04-01
6,0.011725105902467718,2013-04-01
7,0.021902181052306288,2013-04-01
8,0.03425752384277206,2013-04-01
9,0.02933995254429696,2013-04-01
10,0.042011425364415496,2013-04-01
1,-0.006593189400589751,2013-05-01
2,-0.0008254849769189218,2013-05-01
3,0.007483052617388428,2013-05-01
4,-0.004036255683115128,2013-05-01
5,-0.0020374596921403643,2013-05-01
6,-0.0017959120383984686,2013-05-01
7,-0.003335879134018989,2013-05-01
8,0.0015508987990466249,2013-05-01
9,-0.007425274779069286,2013-05-01
10,0.01942518633671608,2013-05-01
1,-0.0017527662915548744,2013-06-01
2,-0.01117796224938243,2013-06-01
3,-0.0006115573473710719,2013-06-01
4,0.007373106472494262,2013-06-01
5,0.009253610265827038,2013-06-01
6,0.00010351605151252464,2013-06-01
7,0.008752823511768402,2013-06-01
8,0.00037686115834157405,2013-06-01
9,0.017661114103628285,2013-06-01
10,0.03361806756448297,2013-06-01
1,0.013822009095246933,2013-07-01
2,0.004571312320664285,2013-07-01
3,0.0007302439038414751,2013-07-01
4,0.01718785737200188,2013-07-01
5,0.01273314277168652,2013-07-01
6,0.008839147468041483,2013-07-01
7,-0.0005616950095584875,2013-07-01
8,0.010440460312433356,2013-07-01
9,0.006700418409133605,2013-07-01
10,0.02790828050569635,2013-07-01
1,-0.018783064741223137,2013-08-01
2,-0.00339354494019245,2013-08-01
3,-0.003046540183633242,2013-08-01
4,-0.0037161281091133763,2013-08-01
5,0.005782874286516529,2013-08-01
