asset_id,file,error
AIZ_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AIZ_combined.csv,MS is not supported as period frequency
AJG_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AJG_combined.csv,MS is not supported as period frequency
AKAM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AKAM_combined.csv,MS is not supported as period frequency
AKR_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AKR_combined.csv,MS is not supported as period frequency
AKRO_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AKRO_combined.csv,MS is not supported as period frequency
AL_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AL_combined.csv,MS is not supported as period frequency
ALAB_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALAB_combined.csv,MS is not supported as period frequency
ALB_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALB_combined.csv,MS is not supported as period frequency
ALC_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALC_combined.csv,MS is not supported as period frequency
ALE_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALE_combined.csv,MS is not supported as period frequency
ALEX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALEX_combined.csv,MS is not supported as period frequency
ALG_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALG_combined.csv,MS is not supported as period frequency
ALGM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALGM_combined.csv,MS is not supported as period frequency
ALGN_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALGN_combined.csv,MS is not supported as period frequency
ALGT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALGT_combined.csv,MS is not supported as period frequency
ALH_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALH_combined.csv,MS is not supported as period frequency
ALHC_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALHC_combined.csv,MS is not supported as period frequency
ALIT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALIT_combined.csv,MS is not supported as period frequency
ALK_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALK_combined.csv,MS is not supported as period frequency
ALKS_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALKS_combined.csv,MS is not supported as period frequency
ALKT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALKT_combined.csv,MS is not supported as period frequency
ALL_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALL_combined.csv,MS is not supported as period frequency
ALLE_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALLE_combined.csv,MS is not supported as period frequency
ALLY_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALLY_combined.csv,MS is not supported as period frequency
ALM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALM_combined.csv,MS is not supported as period frequency
ALMS_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALMS_combined.csv,MS is not supported as period frequency
ALNY_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALNY_combined.csv,MS is not supported as period frequency
ALRM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALRM_combined.csv,MS is not supported as period frequency
ALSN_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALSN_combined.csv,MS is not supported as period frequency
ALV_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALV_combined.csv,MS is not supported as period frequency
ALVO_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALVO_combined.csv,MS is not supported as period frequency
ALX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\ALX_combined.csv,MS is not supported as period frequency
AM_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AM_combined.csv,MS is not supported as period frequency
AMAT_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMAT_combined.csv,MS is not supported as period frequency
AMBA_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMBA_combined.csv,MS is not supported as period frequency
AMBP_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMBP_combined.csv,MS is not supported as period frequency
AMC_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMC_combined.csv,MS is not supported as period frequency
AMCR_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMCR_combined.csv,MS is not supported as period frequency
AMD_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMD_combined.csv,MS is not supported as period frequency
AME_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AME_combined.csv,MS is not supported as period frequency
AMG_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMG_combined.csv,MS is not supported as period frequency
AMGN_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMGN_combined.csv,MS is not supported as period frequency
AMH_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMH_combined.csv,MS is not supported as period frequency
AMKR_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMKR_combined.csv,MS is not supported as period frequency
AMLX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMLX_combined.csv,MS is not supported as period frequency
AMP_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMP_combined.csv,MS is not supported as period frequency
AMPH_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMPH_combined.csv,MS is not supported as period frequency
AMPL_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMPL_combined.csv,MS is not supported as period frequency
AMPX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMPX_combined.csv,MS is not supported as period frequency
AMR_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMR_combined.csv,MS is not supported as period frequency
AMRC_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMRC_combined.csv,MS is not supported as period frequency
AMRX_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMRX_combined.csv,MS is not supported as period frequency
AMRZ_COMBINED,C:\Users\Rand Sobczak Jr\_rts\3_AI\the_Spine\the_OracleChambers\the_OracleChambers\VinV_1_0\data_yahoo_combined\AMRZ_combined.csv,MS is not supported as period frequency
